,Address,Area,Beds,Full Baths,Half Baths,Locality,Lot Size,Price
0,0 Gateway,,,,,"Rock Springs, WY 82901",,"$725,000 "
1,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900 "
2,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, ","$379,900 "
3,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,"$379,000 "
4,3457 Brisol Avenue,"3,236",5,3,,"Rock Springs, WY 82901",0.34 Acres,"$349,900 "
5,234 Via Spoleto,"2,688",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$330,000 "
6,2425 Cripple Creek,"8,263",4,35,,"Rock Springs, WY 82901",,"$279,900 "
7,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000 "
8,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,"$252,900 "
9,343 Via Rucce,,3,2,1,"Rock Springs, WY 82901",0.16 Acres,"$219,900 "
10,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000 "
